origin,destination,count
KUALA LUMPUR,ALOR SETAR,222887
KUALA LUMPUR,JOHOR BAHRU,349340
KUALA LUMPUR,KOTA BHARU,577264
KUALA LUMPUR,KOTA KINABALU,1360597
KUALA LUMPUR,TERENGGANU,229815
KUALA LUMPUR,KUANTAN,70644
KUALA LUMPUR,KUCHING,1157553
KUALA LUMPUR,LABUAN,125803
KUALA LUMPUR,LANGKAWI,867836
KUALA LUMPUR,MIRI,411692
KUALA LUMPUR,PULAU PINANG,871039
KUALA LUMPUR,SIBU,332950
KUALA LUMPUR,TAWAU,421115
KUALA LUMPUR,MUKAH,283
JOHOR BAHRU,SUBANG,86240
JOHOR BAHRU,PENANG,323524
JOHOR BAHRU,ALOR SETAR,25608
JOHOR BAHRU,LANGKAWI,32092
JOHOR BAHRU,IPOH,58464
JOHOR BAHRU,SIBU,54125
JOHOR BAHRU,TAWAU,33462
JOHOR BAHRU,KOTA BHARU,21646
PULAU PINANG,LANGKAWI,183869
KOTA KINABALU,JOHOR BAHRU,123215
KOTA KINABALU,TAWAU,388144
KOTA KINABALU,LABUAN,61681
KUALA LUMPUR,LAHAD DATU,68921
KOTA KINABALU,MIRI,100836
KOTA KINABALU,SIBU,55227
KOTA KINABALU,KUCHING,229819
KUCHING,JOHOR BAHRU,160533
KUCHING,PULAU PINANG,98616
BINTULU,MIRI,9507
MIRI,LABUAN,46040
KOTA KINABALU,SANDAKAN,235281
KOTA KINABALU,BINTULU,32840
LIMBANG,KOTA KINABALU,1517
SANDAKAN,TAWAU,12651
KUCHING,BINTULU,195708
KUCHING,MIRI,312658
KUCHING,SIBU,256206
KUCHING,MUKAH,25677
MIRI,MULU,18083
MIRI,SIBU,42577
MUKAH,MIRI,3505
MUKAH,SIBU,964
SIBU,BINTULU,8271
ALOR SETAR,KUALA LUMPUR,215184
JOHOR BAHRU,KUALA LUMPUR,309987
KOTA BHARU,KUALA LUMPUR,564958
KOTA KINABALU,KUALA LUMPUR,1349879
TERENGGANU,KUALA LUMPUR,222501
KUANTAN,KUALA LUMPUR,70534
KUCHING,KUALA LUMPUR,1160128
LABUAN,KUALA LUMPUR,126761
LANGKAWI,KUALA LUMPUR,848521
MIRI,KUALA LUMPUR,410352
PULAU PINANG,KUALA LUMPUR,854585
SIBU,KUALA LUMPUR,334308
TAWAU,KUALA LUMPUR,419506
MUKAH,KUALA LUMPUR,338
SUBANG,JOHOR BAHRU,87750
PENANG,JOHOR BAHRU,339085
ALOR SETAR,JOHOR BAHRU,24871
LANGKAWI,JOHOR BAHRU,31638
IPOH,JOHOR BAHRU,58813
SIBU,JOHOR BAHRU,56821
TAWAU,JOHOR BAHRU,33524
KOTA BHARU,JOHOR BAHRU,22049
LANGKAWI,PULAU PINANG,198948
JOHOR BAHRU,KOTA KINABALU,124228
TAWAU,KOTA KINABALU,383821
LABUAN,KOTA KINABALU,58785
LAHAD DATU,KUALA LUMPUR,64672
MIRI,KOTA KINABALU,100311
SIBU,KOTA KINABALU,55679
KUCHING,KOTA KINABALU,227761
JOHOR BAHRU,KUCHING,155929
PULAU PINANG,KUCHING,101192
MIRI,BINTULU,10464
LABUAN,MIRI,49467
SANDAKAN,KOTA KINABALU,227297
BINTULU,KOTA KINABALU,32438
KOTA KINABALU,LIMBANG,1580
TAWAU,SANDAKAN,12397
BINTULU,KUCHING,193693
MIRI,KUCHING,310374
SIBU,KUCHING,253819
MUKAH,KUCHING,25066
MULU,MIRI,19956
SIBU,MIRI,42187
MIRI,MUKAH,4078
SIBU,MUKAH,537
BINTULU,SIBU,8969
